answer_text,answer_start,question,context,subject,Task
1995,37,متى بدأ استخدام الإنترنت في المغرب؟,"عرفت المغرب الشبكة (الإنترنت) في عام 1995 حيث كان عدد مستخدمين الإنترنت قليلاً ولكن الأوضاع تغيرت كثيرا مع تولى الملك ""محمد السادس"" الحكم حيث أعلن تأييده للوسيط الجديد وأعلن عن بداية عقد تعليمي يستمر حتى عام 2008 تكون جميع المدارس المغربية خلاله قد ارتبطت بالشابكة (الإنترنت)[3]، ويبدو السبب الأساسي لهذا الاهتمام الرسمي الكبير بشبكة الإنترنت هو المراهنة على استقطاب الاستثمارات الأجنبية فيه",الأنترنيت في المغرب,Factoid
1851,24,متى تأسست وكالة رويترز للانباء ؟,"تأسست رويترز في آخر عام 1851 عن طريق مؤسسها رجل الأعمال الألماني جوليوس رويتر وقد بدأت بالأخبار المالية، ثم توسعت في عام 1858 لتغطي الأخبار العامة كذلك. ومن الأخبار الأولى المهمة التي غطتها وكالة رويترز آنذاك الحرب الأهلية في الولايات المتحدة الأمريكية بين عامي 1861 و1865.",رويترز,Factoid
مضيق باب المندب,15,ما اسم الممر المائي الذي يصل البحر الأحمر بخليج عدن وبحر العرب؟,Coordinates:   مضيق باب المندب ممر مائي يصل البحر الأحمر بخليج عدن وبحر العرب.,باب المندب,Factoid
2019,36,متى فازت قطر بكأس آسيا  لكرة القدم لأول مرة؟,"حقق المنتخب القطري لقب كأس آسيا عام 2019 للمرة الأولى في تاريخه بعد تغلبه على اليابان في النهائي 3-1.[1] كما فاز ببطولة كأس الخليج ثلاث مرات، المرة الأولى عام 1992 والمرة الثانية عام 2004 والمرة الثالثة 2014، والمرتين التي فاز بها كانت في الدوحة والثالثة في الرياض. استطاع المنتخب القطري للشباب عام 1981 من الوصول مع المنتخب الألماني الغربي إلى المباراة النهائية لبطولة كأس العالم للشباب التي أقيمت في أستراليا والتي فاز ببطولتها المنتخب الألماني الغربي. وفي عام 2014 حقق بطولة كأس آسيا للشباب في مينمار ضد منتخب مينمار،  كما نجح المنتخب القطري الأولمبي في الفوز بلقب دورة الألعاب الآسيوية 2006 والتي نظمت في الدوحة حيث توج فيها بلقب مسابقة كرة القدم، وقد درب المنتخب القطري العديد من المدربين العالميين مثل الفرنسي برونو ميتسو والبرازيلي إيفرستو والبرازيلي لابولا والفرنسي فيليب تروسيه والهولندي جو بونفرير.",منتخب قطر لكرة القدم,Factoid
"علامة جلدية تتكون من توسع الأوعية الشعيرية الدقيقة  حول الأظافر ، وعادة ما يترافق معها أمراض النسيج الضام",23,ما هي علامة برافرمان؟,"علامة برافرمان  [1] هي علامة جلدية تتكون من توسع الأوعية الشعيرية الدقيقة  حول الأظافر ، وعادة ما يترافق معها أمراض النسيج الضام. [2]",علامة برافرمان,Non-factoid
"شمال شرق المحيط الأطلسي، محاذية لجزيرة بريطانيا",98,أين تقع جزيرة أيرلندا؟,"جمهورية أيرلندا[1] (بالأيرلندية: Éire) الجزء الأكبر (خمسة أسداس) من جزيرة أيرلندا. تقع الجزيرة في شمال شرق المحيط الأطلسي، محاذية لجزيرة بريطانيا. يفصلها عن بريطانيا كل من: بحر الشمال، البحر الأيرلندي، قنال سانت جورج والبحر الكلتي. أيرلندا الشمالية، التابعة للمملكة المتحدة، تكون الجزء الآخر الصغير من الجزيرة. تعرف في اللغة الغيلية ""أير"". كما تعرف ب""جزيرة الزمرد"" لجمال ريفها الأخضر.",جمهورية أيرلندا,Non-factoid
موسيقار إسباني راحل,56,من هو خواكين رودريغو؟,"خواكين رودريغو فيدري (بالإسبانية:Joaquín Rodrigo Vidre) موسيقار إسباني راحل. (22 نوفمبر 1901 - 6 يوليو 1999) كان مؤلفا للموسيقى الكلاسيكية عازفا على البيانو. رغم كونه كفيفا منذ سنين عمره الأولى، فقد حقق نجاحا عظيما. عدت موسيقى رودريغو من بين الموسيقى الكلاسيكية الأكثر شعبية في القرن العشرين، وخصوصا كونشيرتو دي آرانخويث Concierto de Aranjuez، التي تعتبر قمة في الموسيقى الإسبانية وواحدة من مراجع كونشيرتات الغيتار.",خواكين رودريغو,Factoid
"منطقة ذات ممر حضري غير مستمر في أوروبا الغربية، يسكنه ما يقارب 90 مليون نسمة. يمتد من شمال انكلترا في الشمال، إلى ميلانو في الجنوب",51,ما هي الموزة الزرقاء أو العمود الفقري الأوروبي ؟,"الموزة الزرقاء أو العمود الفقري الأوروبي ; ; ;  هي منطقة ذات ممر حضري غير مستمر في أوروبا الغربية، يسكنه ما يقارب 90 مليون نسمة. يمتد من شمال انكلترا في الشمال، إلى ميلانو في الجنوب. تغطي هذه المنطقة مدن كثيرة مثل: لندن، بروكسل، امستردام، كولونيا، فرانكفورت، لوكسمبورغ، شتوتغارت، ستراسبورغ، زيورخ وميلانو. وتغطي واحدة من أكثر التجمعات تركيزا بالسكان، والمال، والصناعات في العالم.[1][2] نشأت الفكرة وتطورت في عام 1989 على يد أحد المستشارين الجغرافيين الفرنسيين وهو روجر برونيه.[3]",الموزة الزرقاء,Non-factoid
أكتوبر 1936,85,متى تولى فرانكو الحكم في إسبانيا؟,"فرانثيسكو فرانكو  (4 ديسمبر 1892 - 20 نوفمبر 1975)، قائد عسكري تولى رئاسة إسبانيا من أكتوبر 1936 وحتى وفاته في سنة 1975، وصل إلى السلطة بعد الحرب الأهلية الإسبانية (1936 - 1939).",فرانثيسكو فرانكو,Factoid
الخيال المظلم,43,ما هو نوع مانجا بيرسيرك؟,"(حرفيا؛ الهائج) هي سلاسلة مانغا يابانية من الخيال المظلم، مكتوبة ومصورة من قبل كينتارو ميورا.لها طابع أحداث العصور الوسطى في أوروب المظلمة. تدور القصة حول شخصيات غاتس،  ميرسينار ، جريفيث،  هو زعيم  لفرقة تدعى ""فريق الصقور"". المواضيع العزلية، الصداقة، ومسألة ما إذا كانت الإنسانية هي في الأساس من  الخير أو الشر التي  تسوهاد القص ، كما يستكشف أفضل أسوأ ما في الطبيعة البشرية. كل المانغا والأنمي مشهور  باستخدام العنف التصويري المحتوى الجنسي .",بيرسيرك (مانغا),Factoid
الفترة التي بدأ فيها إعلان الدستور العثمانى من جديد في 24 تموز 1908 م,28,ما هو عصر المشروطية الثانية؟,"  عصر المشروطية الثانية، هو الفترة التي بدأ فيها إعلان الدستور العثمانى من جديد في 24 تموز 1908 م، بعد أن ظل معلق تسعة وعشرين عاماً وهي أيضا تعد فترة التصفية النهائية للدولة العثمانية في 5 نوفمبر 1922م. فنظراً لكون المشروطية الأولى لم تنته رسمياً ولم يحدث تغيير بالدستور، فإن بعض المؤرخين اعتبروا أن هذه المشروطية واحدة وأن لها مشروطية ثانية.",المشروطية الثانية,Non-factoid
مؤشر لإمكانية بقاء النوع على قيد الوجود في الحاضر والمستقبل المنظور عبر دراسة إجمالي معدلات التزايد والتناقص للمجموعة بمرور الوقت ومهددات الوجود والتناسل وينشط في هذا المجال اتحاد الحماية العالمي,22,ما هي حالة الحفظ للنوع؟,  حالة الحفظ للنوع هي مؤشر لإمكانية بقاء النوع على قيد الوجود في الحاضر والمستقبل المنظور عبر دراسة إجمالي معدلات التزايد والتناقص للمجموعة بمرور الوقت ومهددات الوجود والتناسل وينشط في هذا المجال اتحاد الحماية العالمي الذي أصدر القائمة الحمراء للأنواع المهددة بالانقراض والذي وضع فيها 3 أصناف للأنواع المددة بالانقراض وهي:,حالة حفظ,Non-factoid
يوليو 1915,51,متى بدأت مراسلات الحسين – مكماهون؟,"تكونت المراسلات من عشر خطابات متبادلة في الفترة من يوليو 1915 إلى مارس 1916،[4] بين الحسين بن علي شريف مكة والمقدم الكولونيل هنري مكماهون سفير المملكة المتحدة لدى مصر. كانت منطقة الاستقلال العربية تعتبر في الحدود التي أقرها شريف مكة باستثناء أجزاء من سوريا والتي تقع غرب ضواحي دمشق وحمص وحماة وحلب. أدت بعض التفسيرات المتضادة إلى نزاع كبير في السنوات التالية.",مراسلات الحسين – مكماهون,Factoid
30 يونيو 1989,272,متى تولى البشير رئاسة السودان؟,"  عمر حسن أحمد البشير (1 يناير 1944)، رئيس جمهورية السودان ورئيس حزب المؤتمر الوطني، حيث قاد انقلابا عسكريا على الحكومة الديموقراطية المنتخبة برئاسة رئيس الوزراء المنتخب في تلك الفترة الصادق المهدي وتولى عمر البشير بعد الانقلاب منصب رئيس مجلس قيادة ثورة الإنقاذ الوطني في 30 يونيو 1989، وجمع بين منصب رئيس الوزراء ومنصب رئيس الجمهورية حتى2 مارس 2017 حيث تم فصل منصب رئيس الوزراء وفقا لتوصيات الحوار الوطني السوداني وتم تعيين بكري حسن صالح رئيسا للوزراء.",عمر البشير,Factoid
"عبارة عن مواد كيميائية تضاف إلى المواد المصنّعة مثل اللدائن والأنسجة المختلفة، وذلك من أجل تثبيط أو منع أو تأخير تشكل اللهب في حال حدوث حريق",16,ما هي مثبطات اللهب ؟,"مثبطات اللهب هي عبارة عن مواد كيميائية تضاف إلى المواد المصنّعة مثل اللدائن والأنسجة المختلفة، وذلك من أجل تثبيط أو منع أو تأخير تشكل اللهب في حال حدوث حريق.",مثبط اللهب,Non-factoid
18 مارس 2013,184,متى بدأ مؤتمر الحوار الوطني الشامل أول جلساته؟,"  مؤتمر الحوار الوطني الشامل [1] هو مؤتمر جرى التحضير والإعداد له مراحل طويلة وتعرقل لأكثر من مرة وبدأت المرحلة الأخيرة بعد ثورة الشباب اليمنية بدعم خارجي غير مسبوق وبدأ أول جلساته في 18 مارس 2013، بالعاصمة اليمنية صنعاء،[2] والتي تصادف الذكرى الثانية لمجزرة جمعة الكرامة بساحة التغيير في صنعاء،[3] وأستمر لمدة عشرة أشهر حتى 25 يناير 2014، في سعي طموح لمداواة جروح البلد بعد الانتفاضة التي استمرت لمدة عام، والتي أجبرت النظام السابق على ترك السلطة بعد حكم دام 33 عاما. وأنعقد تحت شعار ""بالحوار نصنع المستقبل""، رأس مؤتمر الحوار رئيس البلاد عبد ربه منصور هادي [4]، ضم المؤتمر 565 عضواً 50% منهم من مواطني المحافظات الجنوبية و30% من الجانب النسائي و20% من الشباب [5]، جرى اختيارهم وترشيحهم من جميع الأطراف السياسية والفاعلة ومنظمات المجتمع المدني بنسب معينة يرد تفصيلها لاحقاً. في مؤتمر القمة العربية 2013 قال الرئيس هادي ان ""الشعب اليمني سيفاجئ العالم لتحقيق التغيير من خلال الحوار"".[6]",الحوار الوطني اليمني,Factoid
1944,18,متى ولدت الممثلة الأميركية سوزان هيوارد؟,"سوزان هوارد   (و. 1944 –  م) هي ممثلة، وممثلة تلفزيونية، من الولايات المتحدة الأمريكية، ولدت في مارشال، تكساس، الحزب الجمهوري.",سوزان هوارد,Factoid
"أمة بروناي أو أرض السلام، هي دولة تقع على الس",169,في أي قارة تقع بروناي؟,"بروناي أو<b data-parsoid='{""dsr"":[3377,3397,3,3]}'>اتحاد برونــاي (بالمالايو: نيجارا بروناي داروسلام، بالجاوية: بروني دار السلام) وتعرف رسمياً باسم بروناي دار السلام أو أمة بروناي أو أرض السلام، هي دولة تقع على الساحل الشمالي لجزيرة بورنيو في جنوب شرق آسيا. تنقسم بروناي إلى منطقتين تفصلهما بلدة لمبانج التابعة لولاية سراوق الماليزية التي تحيط ببروناي بشكل كامل باستثناء ساحل بروناي الشمالي المطل على بحر الصين الجنوبي. بروناي هي الدولة المستقلة الوحيدة على جزيرة بورنيو، حيث تتقاسم ماليزيا وإندونيسيا بقية الجزيرة.",بروناي,Non-factoid
هي ختام للعملية الجنسية والتفريغ الكامل للإثارة الجنسية التي تراكمت خلال مراحل الجماع,33,ما هي هزة الجماع ؟," هزة الجماع أو الإِيغَافُ[1][2]  هي ختام للعملية الجنسية والتفريغ الكامل للإثارة الجنسية التي تراكمت خلال مراحل الجماع، حيث تحدث لكل من الذكور والإناث وهي أقصى مراحل الاستمتاع والنشوة حيث تنقبض العضلات لا إرادياً في منطقة الحوض،[3][4][5] والتي تؤدي إلى القذف عند الرجال وحدوث انقباضات في العضلات المحيطة بالمهبل عند النساء، وتوتر عضلي شامل في جميع أنحاء الجسم ويلي هذه المرحلة عودة الجسم إلى مرحلة عدم الاستثارة وشعور عام بالارتخاء العضلي والإعياء وأحياناً بالنعاس.",هزة الجماع,Non-factoid
ريو دي جانيرو,7,اين ولد الروائي باولو كويلو؟,"ولد في ريو دي جانيرو عام 1947. قبل أن يتفرغ للكتابة، كان يمارس الإخراج المسرحي، والتمثيل وعمل كمؤلف غنائي، وصحفي. وقد كتب كلمات الأغاني للعديد من المغننين البرازيليين أمثال إليس ريجينا، ريتا لي راؤول سييكساس، فيما يزيد عن الستين أغنية.",باولو كويلو,Factoid
2014,144,متى عين إسماعيل ولد الشيخ أحمد مبعوث الأمم المتحدة الخاص إلى ليبيا؟,"إسماعيل ولد الشيخ أحمد  (مواليد 9 نوفمبر 1960 في نواكشوط - موريتانيا) اقتصادي ودبلوماسي موريتاني، عين نائب مبعوث الأمم المتحدة الخاص إلى ليبيا (2014)، [1] شغل منصب المنسق المقيم لبرنامج الأمم المتحدة الإنمائي في سوريا (2008-2012)، وتولى المهمة نفسها في اليمن (2012-2014). في مطلع 2014، عين نائبا لمبعوث الأمم المتحدة الخاص إلى ليبيا، ثم اختاره الأمين العام للأمم المتحدة في ديسمبر 2014 ليكون مبعوثه الخاص لتنسيق جهود مكافحة فيروس ""إيبولا"" الذي اجتاح دولا عديدة في غرب القارة الأفريقية. في 25 أبريل 2015 عين الموريتاني ولد الشيخ مبعوثاً أممياً لليمن خلفاً للمغربي جمال بنعمر.",إسماعيل ولد الشيخ أحمد,Factoid
1986 م,16,متى تأسست جامعة العلوم والتكنولوجيا الأردنية ؟,"ومنذ تأسيسها في 1986 م، أخذت الجامعة موقعها في مقدمة مؤسسات التعليم العالي في الوطن العربي، كما تحوز مكانة مرموقة وسمعة راقية بين جامعات الشرق الأوسط[6]. وتعتبر الجامعة مع الجامعة الأردنية معاً أقدم مؤسستين تعليميتين في مجالي الطب والهندسة في الأردن[7]، مع أنّ الجامعتين تضمان كليات أخرى وتخصصات علمية أخرى.",جامعة العلوم والتكنولوجيا الأردنية,Factoid
من أكل أو شرب المواد الملوثة بأنواع معينة من السلمونيلا,83,كيف تحدث حمى التيفوئيد؟,الحمى التيفية  أو التيفوئيد أو الحمى التيفوئيدية أو حمى التيفوئيد هو مرض معدي ينتج من أكل أو شرب المواد الملوثة بأنواع معينة من السلمونيلا.,حمى التيفوئيد,Non-factoid
كاليفورنيا,239,ما هي اكبر ولاية أمريكية من حيث السكان؟," هذه هي قائمة الولايات الأمريكية من حيث عدد السكان اعتباراً من 1 أبريل 2010، تاريخ تعداد الولايات المتحدة 2010. تحتوي الولايات التسع الأكثر سكاناً على أكثر من نصف مجموع السكان تقريباً. تحتوي 25 ولاية على الأقل على أقل من سدس مجموع السكان. كاليفورنيا هي الولاية الأكثر اكتظاظاً بالسكان، إذ يبلغ مجموع سكانها أكثر من سكان أكثر من 21 ولاية مجتمعة.",قائمة ولايات وأقاليم الولايات المتحدة حسب السكان,Factoid
1386,279,متى تأسست جامعة هايدلبرغ؟,"الاسم الشائع: جامعة هايدلبرغ ،الاسم الرسمي:جامعة روبرت كارل في هايدلبرغ (بالألمانية: Ruprecht-Karls-Universität Heidelberg) ومن أسمائها: (روبرتو كارولا ""Ruperto Carola""، جامعة هايدلبرغ). هي جامعة ألمانية عامة بحثية تقع في مدينة هايدلبرغ، ولاية بادن-فورتمبيرغ، ألمانيا. أُسست عام 1386 للميلاد، فهي أقدم جامعة في ألمانيا ورابع أقدم جامعة أُسست في عهد الإمبراطورية الرومانية المقدسة. تعتبر واحدة من أهم وأرقى الجامعات في ألمانيا. اعتمدت التعليم المختلط منذ 1899. حالياَ تتكون من 12 كلية فرع من الجامعة وتمنح درجات ما قبل التخرج (بكالوريوس)، دراسات عليا، في حوالى 100 تخصصاً. هي جامعة تفوق ألمانية، إضافة إلى أنها عضو مؤسس في رابطة الجامعات البحثية في أوروبا، عضو في مجموعة كويمبرا وأيضا رابطة الجامعات الأوروبية.",جامعة هايدلبرغ,Factoid
ليلاً ونهاراً,165,متى تستخرج النبتة الأوكسجين؟,"يتصور البعض أن الأشجار تقوم بأخذ ثاني أكسيد الكربون وطرح الأكسجين فقط وهذا اعتقاد باطل، فالأشجار و(الباتات عموماً) تقوم بأخذ [[ثاني أكسيد الكربون}} وطرح (الأكسجين)  ليلاً ونهاراً وفي الوقت نفسه تقوم بعملية البناء الضوئي.  ولما كانت عملية البناء الضوئي أسرع من التنفس فإن الناتج الصافي بالنسبة للغازات المتبادلة هو أخذ ثاني أكسيد الكربون وطرح الأكسجين:",شجرة,Factoid
1988,28,متى تأسست دار نشر المعرفة؟,"  تأسست دار نشر المعرفة سنة 1988، وسرعان ما اتخذت لنفسها مكانة مرموقة كواحدة من أشهر دور النشر الطليعية الجادّة في المملكة المغربية ومنذ بداية نشأتها ، سَعَت الدار إلى التركيز على المستوى العلمي والفكري الهادف لمنشوراتها ، بما يخدم في الدرجة الأولى تراثنا الحضاري العربي الإسلامي ، ثم بما يغطي كافة فروع الدراسات الإنسانية.",دار نشر المعرفة,Factoid
251 كم,51,كم يبلغ طول نهر الأردن؟," نهر الأردن نهر يمر في بلاد الشام، يبلغ طوله حوالي 251 كم وطول سهله حوالي 360 كم ويتكون عند التقاء ثلاثة روافد هي بانياس القادم من سوريا واللدان القادم من شمالي فلسطين والحاصباني القادم من لبنان مشكلا نهر الأردن العلوي.[1][2] الذي يمر في بحيرة حولا في لبنان ثم يصب في بحيرة طبرية التي تكوّنت جراء حدوث الوادي المتصدع الكبير. وقد كون هذا الشق عدة بحار وبحيرات أخرى مهمة، وعند خروجه من بحرية طبرية يكون نهر الأردن السفلي ويصب فيه أيضا روافد نهر اليرموك ونهر الزرقاء ووادي كفرنجة وجالوت، ويفصل النهر بين فلسطين التاريخية والأردن إلى ان يصب في مياه البحر الميت المعروفة بملوحتها العالية.",نهر الأردن,Factoid
بين 112 و120 كيلومترًا,182,ما مدى سرعة الفهد الآسيوي؟,"والفهود هي الممثلة الوحيدة لجنس ""ثابتة المخالب""  في العصر الحالي، إذ أن جميع الأنواع المنتمية لهذا الجنس اندثرت عن وجه الأرض قبل آلاف السنين بسبب العوامل الطبيعية. تتراوح سرعة الفهد بين 112 و120 كيلومترًا في الساعة (بين 70 و75 ميل في الساعة)،[4][5] وذلك في المسافات القصيرة حتى 460 مترًا (1,510 أقدام)، ولها القدرة على الوصول إلى سرعة 103 كيلومترات في الساعة انطلاقًا من الصفر خلال 3 ثوان فقط، وهذا يجعلها أسرع من معظم السيارات الفائقة.[6] كانت مقولة أن الفهد هو أسرع الثدييات عدوًا مقولة مشكوكًا بصحتها، ذلك أن بعض الحيوانات، مثل الوعل شوكي القرون من أمريكا الشمالية، قادرة على مقارعة الفهود من ناحية العدو، إلا أن بعض الدراسات أثبتت مؤخرًا أن الفهود هي بالفعل أسرع الحيوانات.[7]",فهد,Factoid
إنجلترا,28,من هي الدولة التي صنعت أول طائرة مسيرة في العالم؟,أول التجارب العملية كانت في إنجلترا سنة 1917 وقد تم تطوير هذه الطائرة بدون طيار سنة 1924 كأهداف متحركة للمدفعية وكانت بداية فكرتها منذ أن سقطت طائرة التجسس الأمريكية (U-2) 1960 فوق روسيا ومشكلة الصواريخ الكوبية 1962. أول استخدام لها عملياً في حرب فيتنام. تم استخدام الطائرات دون طيار في حرب أكتوبر 1973. ولكن لم تحقق النتيجة المطلوبة فيها لضعف الإمكانيات في ذلك الوقت ووجود حائط الصواريخ المصري. أول مشاركة فعالة لها كانت في معركة سهل البقاع بين سوريا وإسرائيل ونتج عنها إسقاط 82 طائرة سورية مقابل صفر طائرة إسرائيلية.,طائرة بدون طيار,Factoid
1962,89,متى بدأ إصدار كتاب حقائق العالم؟," كتاب حقائق العالم  هو منشور سنوي تصدره وكالة المخابرات المركزية الأمريكية ابتداء من عام 1962، ويحوي حوالي صفحتين إلى ثلاثة عن كل دولة تعترف بها الولايات المتحدة. وأصبح هذا الكتاب غير سري منذ عام 1971، وبالرغم من أنه مخصص للاستعمال من قبل دوائر الحكومة الأميركية، فهو كثيراً ما يستخدم من قبل المنظمات الأميركية المختلفة لسهولة الوصول إليه ولأنه ضمن الملكية العامة حيث لا تشمله حقوق الطبع.",كتاب حقائق العالم,Factoid
"المبادئ الأخلاقية أو المعايير الإجتماعية التي تصف نموذجاً للسلوك البشري الذي يفُهم عموما بأنه حقوق أساسية لا يجوز المس بها ""مستحقة وأصيلة لكل شخص لمجرد كونها أو كونه إنسان",17,ما هي حقوق الإنسان؟," حقوق الإنسان هي المبادئ الأخلاقية أو المعايير الإجتماعية التي تصف نموذجاً للسلوك البشري الذي يفُهم عموما بأنه حقوق أساسية لا يجوز المس بها ""مستحقة وأصيلة لكل شخص لمجرد كونها أو كونه إنسان""؛ ملازمة لهم بغض النظر عن هويتهم أو مكان وجودهم أو لغتهم أو ديانتهم أو أصلهم العرقي أو أي وضع آخر. وحمايتها منظمة كحقوق قانونية في إطار القوانين المحلية والدولية. وهي كلّية تنطبق في كل مكان وفي كل وقت ومتساوية لكل الناس، تتطلب التماهي والتشاعر وسيادة القانون وتفرض على المرء إحترام الحقوق الإنسانية للآخرين. ولا يجوز ولا ينبغي أن تُنتزع إلا نتيجة لإجراءات قانونية واجبة تضمن الحقوق ووفقا لظروف محددة. فمثلا، قد تشتمل حقوق الإنسان على التحرر من الحبس ظلما والتعذيب والإعدام. وهي تقر لجميع أفراد الأسرة البشرية قيمة وكرامة أصيلة فيهم. وبإقرار هذه الحريات فإن المرء يستطيع أن يتمتع بالأمن والأمان، ويصبح قادراً على اتخاذ القرارات التي تنظم حياته.",حقوق الإنسان,Non-factoid
1911م,7,متى كانت أول رسوم المتحركة؟,"في عام 1911م، قام رسام الرُّسوم المتحركة الأمريكي الشهير وينسر مكاي بعرض فيلمه الأول للرسوم المتحركة المسمى نيمو الصغير بمدينة نيويورك، وظهر أشهر أفلامه للرسوم المتحركة، المسمى الديناصور غيرتي عام 1914م. وقد نجح ماكي في إنتاج أفلام عالية الجودة بشخصيات تميزت بمرونة في الحركة وسمات سلوكية واضحة، مما أسهم في ابتداع الأساليب التقنية، ومؤثرات الإقناع الحسي التي قامت عليها معايير الجودة التشخيصية لأفلام الرسوم المتحركة. وأصبحت أعماله ذات تأثير على إنتاج أفلام الرسوم المتحركة لأنها اشتهرت بانسياب حركتها، ومستوى رسوماتها ذات الجودة العالية، والحس المرهف بالكتلة، إضافة إلى السمات الذاتية الفريدة للشخصيات في هذه الأفلام.",رسوم متحركة,Factoid
البكتيريا التي لا تحتفظ بصبغة الكريستال البنفسجي في بروتوكول صبغة غرام,55,ما هي البكتيريا سلبية الغرام؟,البكتيريا سالبة غرام[1][2] أو بكتيريا سلبية الغرام  هي البكتيريا التي لا تحتفظ بصبغة الكريستال البنفسجي في بروتوكول صبغة غرام. نجد بينها:,بكتيريا سلبية الغرام,Non-factoid
مجموعة من اضطرابات النوم التي تترافق عادة مع فرط النوم أو نقصه,24,ما هو الخطل النومي؟," يجمع الخطل النومي  بين مجموعة من اضطرابات النوم التي تترافق عادة مع فرط النوم أو نقصه. تشمل هذه الاضطرابات حركات جسدية غير طبيعية، على غرار الحديث والصراخ وتخيل تصورات وأحلام (مثل الكوابيس) لا وجود لها في بداية النوم أو النعاس، أو أثناء النوم أو عند الاستيقاظ. معظم حالات الخطل النومي تحدث خلال حالات نوم منفصلة، تكون عبارة عن عوارض جزئية أثناء التحول من اليقظة إلى نوم حركة العين غير السريعة، أو من اليقظة إلى مرحلة نوم حركة العين السريعة.",خطل نومي,Non-factoid
هراري,40,ما هي عاصمة زيمبابوي؟," زيمبابوي لديها حكومة مركزية في العاصمة هراري، وتنقسم البلاد إدارياً إلى 8 مقاطعات، ومدينتين في وضع المقاطعات لأغراض إدارية. كل مقاطعة لديها عاصمة يتخذ منها القرار الخاص بالمقاطعة باسم الدولة.[6]",زيمبابوي,Factoid
صنعاء,74,في اي محافظة يمنية توجد مديرية بلاد الروس؟," {{رسالة توضيح|بلاد الروس في اليمن| مديرية بلاد الروس إحدى مديريات محافظة صنعاء في الجمهورية اليمنية ، تقع على بعد 32 كيلو متر جنوب العاصمة .",مديرية بلاد الروس,Factoid
"مسطح مائي ساحلي يأخذ شكل خليج شبه مغلق، يصب فيه نهر أو مجرى مائي من جهة، ويتصل بالبحر من الجهة الأخرى، تمتزج فيه المياه المالحة بالمياه العذبة",37,ما معنى اسم الخَوْر؟,"    الخَوْر[1] أو مَصَبّ النهر[2] هو مسطح مائي ساحلي يأخذ شكل خليج شبه مغلق، يصب فيه نهر أو مجرى مائي من جهة، ويتصل بالبحر من الجهة الأخرى، تمتزج فيه المياه المالحة بالمياه العذبة.  تصغير|محمية «رأس الخور» بالإمارات",مصب,Non-factoid
مجموعة من النشطاء الماركسين,102,من قام بتأسيس مدرسة فرانكفورت ؟,"في هذه المرحلة وتحديدا بداية من سنة 1923 وقع تأسيس معهد العلوم الاجتماعية في فراكفورت بألمانيا علي يد مجموعة من النشطاء الماركسين الذين يريدون إعادة احياء البعد النقدي في الفلسفة الماركسية إزاء الجمود الذي لحقها جراء تحولها الي أرثودوكسية جامدة عند أغلب المفكرين الألمان. إعادة الإحياء هذه تهدف إلي تفعيل البعد النقدي التحرري في الفلسفة الماركسية باعتباره رافدا أساسيا للحركة الاجتماعية، ومن هذا المنطلق يهدف المعهد إلى بحث شروط الثورة (ثورة البروليتاريا) والعمل علي تحفيزها.",مدرسة فرانكفورت,Non-factoid
رجل دولة وزعيم سياسي أمريكي شغل منصب الرئيس الثاني والثلاثين للولايات المتحدة من عام 1933 حتى وفاته في عام 1945,126,من هو فرانكلين روزفلت؟,"فرانكلين ديلانو روزفلت  (أو روزافالت حسب نطقه الخاص[1])، (30 يناير 1882 - 12 أبريل 1945)، المعروف أيضا باختصار ""إف دي آر""، هو رجل دولة وزعيم سياسي أمريكي شغل منصب الرئيس الثاني والثلاثين للولايات المتحدة من عام 1933 حتى وفاته في عام 1945. روزفلت هو سياسي ديمقراطي، وفاز في أربعة انتخابات رئاسية متتالية وبرز كشخصية مركزية في الأحداث العالمية خلال منتصف القرن العشرين. قاد حكومة الولايات المتحدة خلال الكساد الكبير والحرب العالمية الثانية. اعتبر قائدا مهيمنا على الحزب، وقام ببناء تحالف الصفقة الجديدة، وأعاد تنظيم السياسة الأمريكية في نظام الحزب الخامس، وأعاد تحديد الليبرالية الأمريكية خلال الثلث الأوسط من القرن العشرين. وغالبا ما يصنفه الباحثون كأحد أكبر ثلاثة رؤساء أمريكيين، إلى جانب جورج واشنطن وأبراهام لينكون.[2]",فرانكلين روزفلت,Factoid
